CPS, 1, CPM, 7, uSv/hr, 0.03, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 3, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 2, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 2, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 2, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 2, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 3, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 2, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 3, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 2, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 2, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 2, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 2, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 3, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 2, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 1, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 8, uSv/hr, 0.04, SLOW
CPS, 2, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 1, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 1, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 2, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
